gestora,title,publisher,published_date,url
Verde Asset Management,Europa cede com reuniões de política monetária à porta. Petróleo regressa aos ganhos - Jornal de Negócios,Jornal de Negócios,07/06/2023,https://news.google.com/rss/articles/CBMiiwFodHRwczovL3d3dy5qb3JuYWxkZW5lZ29jaW9zLnB0L21lcmNhZG9zL21lcmNhZG9zLW51bS1taW51dG8vZGV0YWxoZS9hc2lhLWZlY2hhLWVtLW1heGltb3MtZGUtcXVhc2UtcXVhdHJvLW1lc2VzLWV1cm9wYS1hcG9udGEtcGFyYS1vLXZlcmRl0gGHAWh0dHBzOi8vd3d3Lmpvcm5hbGRlbmVnb2Npb3MucHQvbWVyY2Fkb3MvbWVyY2Fkb3MtbnVtLW1pbnV0by9hbXAvYXNpYS1mZWNoYS1lbS1tYXhpbW9zLWRlLXF1YXNlLXF1YXRyby1tZXNlcy1ldXJvcGEtYXBvbnRhLXBhcmEtby12ZXJkZQ?oc=5&hl=en-US&gl=US&ceid=US:en
Verde Asset Management,"Ibovespa salta 1,70% e fecha acima do 114 mil pontos, no seu maior nível desde novembro: o que explica? - InfoMoney",InfoMoney,06/06/2023,https://news.google.com/rss/articles/CBMiiQFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL21lcmNhZG9zL2lib3Zlc3BhLXNhbHRhLTE3MC1lLWZlY2hhLWFjaW1hLWRvLTExNC1taWwtcG9udG9zLW5vLXNldS1tYWlvci1uaXZlbC1kZXNkZS1ub3ZlbWJyby1vLXF1ZS1leHBsaWNhL9IBjQFodHRwczovL3d3dy5pbmZvbW9uZXkuY29tLmJyL21lcmNhZG9zL2lib3Zlc3BhLXNhbHRhLTE3MC1lLWZlY2hhLWFjaW1hLWRvLTExNC1taWwtcG9udG9zLW5vLXNldS1tYWlvci1uaXZlbC1kZXNkZS1ub3ZlbWJyby1vLXF1ZS1leHBsaWNhL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en
Verde Asset Management,Europa ganha mais de 1% com notícias da China e dos EUA. Petróleo também sobe - Jornal de Negócios,Jornal de Negócios,02/06/2023,https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5qb3JuYWxkZW5lZ29jaW9zLnB0L21lcmNhZG9zL21lcmNhZG9zLW51bS1taW51dG8vZGV0YWxoZS9ldXJvcGEtY29tLWEtbWlyYS1lbS1nYW5ob3MtdGVjbm9sb2dpY2FzLWVtcHVycmFtLWFzaWEtcGFyYS1vLXZlcmRl0gGEAWh0dHBzOi8vd3d3Lmpvcm5hbGRlbmVnb2Npb3MucHQvbWVyY2Fkb3MvbWVyY2Fkb3MtbnVtLW1pbnV0by9hbXAvZXVyb3BhLWNvbS1hLW1pcmEtZW0tZ2FuaG9zLXRlY25vbG9naWNhcy1lbXB1cnJhbS1hc2lhLXBhcmEtby12ZXJkZQ?oc=5&hl=en-US&gl=US&ceid=US:en
Verde Asset Management,Gestoras se dividem em apostas em juro diante de pressão por corte da Selic - Bloomberg Línea Brasil,Bloomberg Línea Brasil,17/05/2023,https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3LmJsb29tYmVyZ2xpbmVhLmNvbS5ici8yMDIzLzA1LzE3L2dlc3RvcmFzLXNlLWRpdmlkZW0tZW0tYXBvc3Rhcy1lbS1qdXJvLWRpYW50ZS1kZS1wcmVzc2FvLXBvci1jb3J0ZS1kYS1zZWxpYy_SAYgBaHR0cHM6Ly93d3cuYmxvb21iZXJnbGluZWEuY29tLmJyLzIwMjMvMDUvMTcvZ2VzdG9yYXMtc2UtZGl2aWRlbS1lbS1hcG9zdGFzLWVtLWp1cm8tZGlhbnRlLWRlLXByZXNzYW8tcG9yLWNvcnRlLWRhLXNlbGljLz9vdXRwdXRUeXBlPWFtcA?oc=5&hl=en-US&gl=US&ceid=US:en
Verde Asset Management,"Como a Verde Asset, de Luis Stuhlberger, perdeu R$ 24 bilhões – Investimentos – Estadão E-Investidor – As principais notícias do mercado financeiro - E-Investidor",E-Investidor,09/05/2023,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvaW52ZXN0aW1lbnRvcy92ZXJkZS1hc3NldC1sdWlzLXN0dWhsYmVyZ2VyLXBlcmRlLTI0LWJpbGhvZXMv0gFiaHR0cHM6Ly9laW52ZXN0aWRvci5lc3RhZGFvLmNvbS5ici9pbnZlc3RpbWVudG9zL3ZlcmRlLWFzc2V0LWx1aXMtc3R1aGxiZXJnZXItcGVyZGUtMjQtYmlsaG9lcy9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en
Verde Asset Management,"Quem é Luis Stuhlberger, dono do Fundo Verde – Comportamento – Estadão E-Investidor – As principais notícias do mercado financeiro - E-Investidor",E-Investidor,09/05/2023,https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vZWludmVzdGlkb3IuZXN0YWRhby5jb20uYnIvY29tcG9ydGFtZW50by9xdWVtLWx1aXMtc3R1aGxiZXJnZXItZG9uby1mdW5kby12ZXJkZS_SAVtodHRwczovL2VpbnZlc3RpZG9yLmVzdGFkYW8uY29tLmJyL2NvbXBvcnRhbWVudG8vcXVlbS1sdWlzLXN0dWhsYmVyZ2VyLWRvbm8tZnVuZG8tdmVyZGUvYW1w?oc=5&hl=en-US&gl=US&ceid=US:en
Verde Asset Management,"Nas assets, R$ 82 bilhões a menos e muitas feridas pelo caminho - NeoFeed",NeoFeed,27/04/2023,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vbmVvZmVlZC5jb20uYnIvbmVnb2Npb3MvbmFzLWFzc2V0cy1yLTgyLWJpbGhvZXMtYS1tZW5vcy1lLW11aXRhcy1mZXJpZGFzLXBlbG8tY2FtaW5oby_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en
Verde Asset Management,"Luis Stuhlberger vai ""captar"" de novo. Mas não é para a Verde Asset - NeoFeed",NeoFeed,14/04/2023,https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vbmVvZmVlZC5jb20uYnIvaW5zaWRlcnMvbHVpcy1zdHVobGJlcmdlci12YWktY2FwdGFyLWRlLW5vdm8tbWFzLW5hby1lLXBhcmEtYS12ZXJkZS1hc3NldC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en
Verde Asset Management,Gestoras como Ibiuna e Legacy questionam arcabouço e perdem com juros nos EUA - Bloomberg Línea Brasil,Bloomberg Línea Brasil,14/04/2023,https://news.google.com/rss/articles/CBMifWh0dHBzOi8vd3d3LmJsb29tYmVyZ2xpbmVhLmNvbS5ici8yMDIzLzA0LzE0L2liaXVuYS1sZWdhY3ktZS1vdXRyYXMtZ2VzdG9yYXMtcXVlc3Rpb25hbS1hcmNhYm91Y28tZS1wZXJkZW0tY29tLWp1cm9zLW5vcy1ldWEv0gGMAWh0dHBzOi8vd3d3LmJsb29tYmVyZ2xpbmVhLmNvbS5ici8yMDIzLzA0LzE0L2liaXVuYS1sZWdhY3ktZS1vdXRyYXMtZ2VzdG9yYXMtcXVlc3Rpb25hbS1hcmNhYm91Y28tZS1wZXJkZW0tY29tLWp1cm9zLW5vcy1ldWEvP291dHB1dFR5cGU9YW1w?oc=5&hl=en-US&gl=US&ceid=US:en
Verde Asset Management,"As ""sutilezas"" do arcabouço fiscal, na visão de André Esteves - NeoFeed",NeoFeed,12/04/2023,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vbmVvZmVlZC5jb20uYnIvZWNvbm9taWEvYXMtc3V0aWxlemFzLWRvLWFyY2Fib3Vjby1maXNjYWwtbmEtdmlzYW8tZGUtYW5kcmUtZXN0ZXZlcy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en
